analysis,grouping,group,n,match,mismatch,uncertain_majority,no_majority,unresolved,judgeable,all_sample_rate,judgeable_rate
locked_primary,condition,target_absent,80,66,6,4,4,8,72,0.825,0.9166666666666666
locked_primary,condition,target_present,120,108,9,1,2,3,117,0.9,0.9230769230769231
locked_primary,family,A1,25,23,0,2,0,2,23,0.92,1.0
locked_primary,family,A2,25,20,4,0,1,1,24,0.8,0.8333333333333334
locked_primary,family,A3,25,22,0,0,3,3,22,0.88,1.0
locked_primary,family,A4,25,24,0,1,0,1,24,0.96,1.0
locked_primary,family,A5,25,15,6,2,2,4,21,0.6,0.7142857142857143
locked_primary,family,A6,25,22,3,0,0,0,25,0.88,0.88
locked_primary,family,A7,25,25,0,0,0,0,25,1.0,1.0
locked_primary,family,A8,25,23,2,0,0,0,25,0.92,0.92
locked_primary,lineage,expansion,136,116,15,1,4,5,131,0.8529411764705882,0.8854961832061069
locked_primary,lineage,pilot,64,58,0,4,2,6,58,0.90625,1.0
locked_primary,family_x_condition,A1|target_absent,10,8,0,2,0,2,8,0.8,1.0
locked_primary,family_x_condition,A1|target_present,15,15,0,0,0,0,15,1.0,1.0
locked_primary,family_x_condition,A2|target_absent,10,10,0,0,0,0,10,1.0,1.0
locked_primary,family_x_condition,A2|target_present,15,10,4,0,1,1,14,0.6666666666666666,0.7142857142857143
locked_primary,family_x_condition,A3|target_absent,10,8,0,0,2,2,8,0.8,1.0
locked_primary,family_x_condition,A3|target_present,15,14,0,0,1,1,14,0.9333333333333333,1.0
locked_primary,family_x_condition,A4|target_absent,10,10,0,0,0,0,10,1.0,1.0
locked_primary,family_x_condition,A4|target_present,15,14,0,1,0,1,14,0.9333333333333333,1.0
locked_primary,family_x_condition,A5|target_absent,10,0,6,2,2,4,6,0.0,0.0
locked_primary,family_x_condition,A5|target_present,15,15,0,0,0,0,15,1.0,1.0
locked_primary,family_x_condition,A6|target_absent,10,10,0,0,0,0,10,1.0,1.0
locked_primary,family_x_condition,A6|target_present,15,12,3,0,0,0,15,0.8,0.8
locked_primary,family_x_condition,A7|target_absent,10,10,0,0,0,0,10,1.0,1.0
locked_primary,family_x_condition,A7|target_present,15,15,0,0,0,0,15,1.0,1.0
locked_primary,family_x_condition,A8|target_absent,10,10,0,0,0,0,10,1.0,1.0
locked_primary,family_x_condition,A8|target_present,15,13,2,0,0,0,15,0.8666666666666667,0.8666666666666667
locked_primary,family_x_lineage,A1|expansion,17,17,0,0,0,0,17,1.0,1.0
locked_primary,family_x_lineage,A1|pilot,8,6,0,2,0,2,6,0.75,1.0
