condition,field,rater_1,rater_2,n,agreement_count,agreement_rate,cohen_kappa
ALL,permission,A,B,144,72,0.5,0.338606787445777
ALL,permission,A,C,144,111,0.7708333333333334,0.6841685497806727
ALL,permission,B,C,144,87,0.6041666666666666,0.4089861751152073
ALL,anomaly_visible,A,B,144,119,0.8263888888888888,0.5313110272099986
ALL,anomaly_visible,A,C,144,118,0.8194444444444444,-0.057925967787510496
ALL,anomaly_visible,B,C,144,96,0.6666666666666666,-0.05655762763680827
ALL,mapped_hallucination,A,B,144,112,0.7777777777777778,0.5577735124760077
ALL,mapped_hallucination,A,C,144,132,0.9166666666666666,0.8107752956636004
ALL,mapped_hallucination,B,C,144,113,0.7847222222222222,0.579423403052572
ambiguous,permission,A,B,40,0,0.0,-0.001251564455569462
ambiguous,permission,A,C,40,33,0.825,-0.02564102564102574
ambiguous,permission,B,C,40,1,0.025,-0.014304291287386214
ambiguous,anomaly_visible,A,B,40,30,0.75,0.0
ambiguous,anomaly_visible,A,C,40,40,1.0,
ambiguous,anomaly_visible,B,C,40,30,0.75,0.0
ambiguous,mapped_hallucination,A,B,40,26,0.65,0.04109589041095894
ambiguous,mapped_hallucination,A,C,40,33,0.825,-0.02564102564102574
ambiguous,mapped_hallucination,B,C,40,22,0.55,-0.10091743119266029
no_issue,permission,A,B,24,3,0.125,-0.024390243902439
no_issue,permission,A,C,24,0,0.0,0.0
no_issue,permission,B,C,24,15,0.625,0.0
no_issue,anomaly_visible,A,B,24,19,0.7916666666666666,0.11764705882352944
no_issue,anomaly_visible,A,C,24,4,0.16666666666666666,0.0
no_issue,anomaly_visible,B,C,24,0,0.0,0.0
no_issue,mapped_hallucination,A,B,24,16,0.6666666666666666,-0.08474576271186426
no_issue,mapped_hallucination,A,C,24,21,0.875,0.0
no_issue,mapped_hallucination,B,C,24,19,0.7916666666666666,0.0
permitted,permission,A,B,40,35,0.875,0.0
permitted,permission,A,C,40,39,0.975,0.0
permitted,permission,B,C,40,36,0.9,0.31034482758620713
permitted,anomaly_visible,A,B,40,36,0.9,-0.025641025641025085
permitted,anomaly_visible,A,C,40,39,0.975,0.0
permitted,anomaly_visible,B,C,40,37,0.925,0.0
permitted,mapped_hallucination,A,B,40,36,0.9,0.0
permitted,mapped_hallucination,A,C,40,39,0.975,0.0
permitted,mapped_hallucination,B,C,40,37,0.925,0.37823834196891276
violating,permission,A,B,40,34,0.85,0.0
violating,permission,A,C,40,39,0.975,0.0
violating,permission,B,C,40,35,0.875,0.2592592592592596
violating,anomaly_visible,A,B,40,34,0.85,0.0
violating,anomaly_visible,A,C,40,35,0.875,0.0
violating,anomaly_visible,B,C,40,29,0.725,-0.15789473684210567
violating,mapped_hallucination,A,B,40,34,0.85,0.0
violating,mapped_hallucination,A,C,40,39,0.975,0.0
violating,mapped_hallucination,B,C,40,35,0.875,0.2565055762081783
