model,axis_code,axis_en,n,permission_agreement_with_rater1,hallucination_agreement_with_rater1,both_agreement_with_rater1
gpt-5.4,A1,Anatomy / Hands,18,0.5,0.7222222222222222,0.5
gpt-5.4,A2,Text,18,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-5.4,A3,Physics,18,0.4444444444444444,0.8888888888888888,0.4444444444444444
gpt-5.4,A4,Object Fusion,18,0.3333333333333333,0.4444444444444444,0.3333333333333333
gpt-5.4,A5,Count / Repetition,18,0.5555555555555556,0.7222222222222222,0.5555555555555556
gpt-5.4,A6,Spatial / Impossible Geometry,18,0.5555555555555556,1.0,0.5555555555555556
gpt-5.4,A7,Scale / Proportion,18,0.5555555555555556,1.0,0.5555555555555556
gpt-5.4,A8,Artistic Deformation,18,0.8333333333333334,1.0,0.8333333333333334
claude-sonnet-4-6,A1,Anatomy / Hands,18,0.5,0.6666666666666666,0.4444444444444444
claude-sonnet-4-6,A2,Text,18,0.6666666666666666,0.6111111111111112,0.6111111111111112
claude-sonnet-4-6,A3,Physics,18,0.4444444444444444,0.8333333333333334,0.4444444444444444
claude-sonnet-4-6,A4,Object Fusion,18,0.3333333333333333,0.4444444444444444,0.3333333333333333
claude-sonnet-4-6,A5,Count / Repetition,18,0.5555555555555556,0.7222222222222222,0.5555555555555556
claude-sonnet-4-6,A6,Spatial / Impossible Geometry,18,0.7222222222222222,1.0,0.7222222222222222
claude-sonnet-4-6,A7,Scale / Proportion,18,0.8333333333333334,1.0,0.8333333333333334
claude-sonnet-4-6,A8,Artistic Deformation,18,0.8333333333333334,1.0,0.8333333333333334
gemini-3.1-pro-preview,A1,Anatomy / Hands,18,0.4444444444444444,0.6666666666666666,0.4444444444444444
gemini-3.1-pro-preview,A2,Text,18,0.6666666666666666,0.6666666666666666,0.6666666666666666
gemini-3.1-pro-preview,A3,Physics,18,0.4444444444444444,0.7777777777777778,0.4444444444444444
gemini-3.1-pro-preview,A4,Object Fusion,18,0.3333333333333333,0.4444444444444444,0.3333333333333333
gemini-3.1-pro-preview,A5,Count / Repetition,18,0.5555555555555556,0.7222222222222222,0.5555555555555556
gemini-3.1-pro-preview,A6,Spatial / Impossible Geometry,18,0.6111111111111112,1.0,0.6111111111111112
gemini-3.1-pro-preview,A7,Scale / Proportion,18,0.7222222222222222,0.9444444444444444,0.7222222222222222
gemini-3.1-pro-preview,A8,Artistic Deformation,18,0.8333333333333334,1.0,0.8333333333333334
